timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
408578,133,-1067,1134,-8124,3870,17362,1073,-1066,596,3728,20991,25012
408620,104,-396,1053,6109,-6302,25012,921,270,444,14303,7586,25012
408661,72,1263,1075,-824,-2833,22383,503,1999,402,6640,964,25012
408700,-91,1895,1189,2587,8238,-1472,353,1999,-289,1513,-2859,-25013
408739,182,1127,1120,5203,924,-25013,1442,1999,576,-23024,-13058,-25013
408781,857,-903,799,-17387,2380,-25013,1999,-859,-584,-25013,-18364,-25013
408821,1266,-2000,560,-16453,10074,-25013,1999,-2000,1114,-25013,3745,-25013
408864,644,-2000,123,4981,4138,22619,1999,-2000,447,25012,18254,25012
408903,424,63,595,25012,-7438,25012,1999,-1280,-2000,25012,25012,25012
408943,-81,1999,1327,11314,12,25012,1999,1999,-2000,16458,-25013,25012
408978,-566,1999,919,7972,5361,-25013,1999,219,1999,-25013,-25013,-25013
409021,1584,-1440,650,-25013,-3296,-25013,1999,-1749,-1530,-25013,25012,-25013
409061,846,-2000,190,-23529,22435,-18577,1999,-2000,-313,4174,-770,13157
409100,382,-1889,115,25012,-11631,25012,1535,-1212,-1015,25012,15058,25012
409139,488,1251,818,25012,-25013,25012,1999,1999,-1803,25012,-10090,25012
409181,-654,1999,974,4452,6460,920,1994,1999,1835,-25013,-23217,-25013
409221,329,823,949,-25013,-3389,-25013,1592,1604,-35,-25013,13429,-25013
409261,798,-2000,986,-22893,8297,-25013,1999,-2000,-432,-25013,-23131,-16374
409302,471,-2000,396,6712,868,17631,1534,-2000,903,25012,15973,24641
409341,166,-489,813,25012,-12900,25012,1337,-946,-1249,25012,20794,25012
409379,-199,1999,1120,14236,3656,19214,827,1999,-674,17387,-25013,25012
409421,-264,1883,882,-16749,12364,-24393,923,1263,1425,-25013,25012,-25013
409458,395,-488,516,-25013,6958,-25013,1320,-1467,-1639,-25013,15603,-25013
409502,174,-1683,449,-9490,-5623,-12326,1164,-2000,113,6125,-11650,4454
409538,218,-1347,707,20519,-14480,15287,815,-590,817,25012,-2477,18413
