timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
284073,-325,-184,983,2009,1415,1325,158,343,1129,1648,1617,-96
284115,-282,-170,1036,-54,1626,385,248,487,1312,-14,2966,-705
284153,-282,-148,995,346,5591,791,146,320,1085,-690,5473,-2107
284195,-323,-186,940,-878,5590,-249,211,392,1409,-3302,9774,-2490
284238,-369,-245,943,-3500,8364,45,146,234,1228,-5368,15041,-2390
284274,-468,-275,852,-2956,8759,769,-82,115,715,-4840,13979,-2146
284313,-483,-270,854,-2222,7585,816,-106,182,1048,-2625,8800,-1884
284356,-499,-225,826,-2012,7708,1056,-141,242,1209,-2209,7178,-1189
284396,-571,-228,824,-1781,10345,1116,-239,256,913,-4312,10723,-3181
284433,-531,-153,596,-2948,9422,-2828,-1377,456,-2000,-16477,2500,-9314
284473,-2000,-237,-1699,4337,-25013,-25013,1999,-1434,-2000,-25013,-25013,14219
284513,1999,-259,-738,-15668,-25013,-25013,1999,891,1640,25012,-25013,25012
284553,1999,-968,1999,19314,-25013,-25013,1999,1834,1999,3438,-25013,-21369
284593,1451,-124,1132,4520,25012,-1594,1999,-1335,1474,-22432,25012,-18911
284634,952,-38,155,-6878,14329,14005,930,-919,-2000,5538,5965,20059
284673,1016,-255,578,-6520,1896,12562,1210,548,365,3377,9261,11157
284713,937,-426,752,-2087,13313,7890,1254,399,483,374,15691,-5665
284753,821,-403,681,3566,19964,3958,1304,-18,106,1148,24895,-12364
284793,750,-358,748,4912,22959,3121,1496,-276,884,3200,23962,-12545
284833,629,-287,875,2565,25012,6467,1909,-152,1404,4051,25012,-9781
284873,407,-214,814,3010,25012,9781,1823,77,126,336,25012,-7940
284913,88,-285,805,-8271,25012,4817,1113,310,-224,-5117,25012,-10093
284956,-136,-389,602,-6796,23302,5857,191,-632,-509,-3771,21145,-4102
284997,-339,-508,629,-961,11618,4487,-21,117,692,3293,12278,-3605
285034,-451,-383,709,3522,6045,4076,-130,-257,524,4069,7860,1403
