timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
612605,-397,-949,-158,3700,940,6649,0,-1150,996,8622,10841,3408
612647,-521,-955,-23,5360,4167,10906,12,-1134,997,9712,20352,5368
612683,-572,-841,-23,7861,6732,14943,-189,-887,146,13752,23058,4825
612727,-604,-641,-58,11193,9002,15235,-300,-622,572,15472,18587,6099
612766,-595,-513,-81,11890,10483,12955,-317,-423,547,10604,25012,4693
612801,-686,-484,-71,12878,10765,8562,-519,-353,191,6147,22185,141
612847,-684,-410,-130,7938,11379,1438,-658,-158,-3,-199,14685,-4547
612886,-581,-481,-134,5599,13629,-5122,-661,-111,67,-5501,11319,-13953
612924,-497,-390,-361,-2905,9951,-16126,-798,138,-1416,-13632,1751,-18470
612961,-108,-319,-1046,-18235,-11320,-25013,-724,1696,-2000,-25013,-7863,-25013
613001,-443,-108,-1234,-25013,-25013,-25013,1999,-1344,-2000,-25013,-25013,-25013
613043,1125,-2000,-670,-1741,-25013,-25013,1999,-2000,1863,25012,-25013,-6100
613080,124,-808,71,20028,-25013,-15021,1999,379,1999,4330,-25013,-15876
613125,417,-1270,453,-16518,-464,4619,1734,-1765,964,-14511,25012,25012
613160,174,-1299,125,-7416,6835,8041,270,197,-1863,-6269,19117,8790
613200,89,-1151,-78,867,9621,5675,39,-666,60,7480,-5225,785
613244,37,-1179,-202,5270,7812,3177,290,-1675,47,4981,5836,-1825
613281,22,-1217,-187,4064,8893,5987,198,-1116,98,7461,6235,-1892
613320,-9,-1273,-192,8179,11763,10004,220,-1270,102,13835,8121,-3744
613360,-99,-1135,-150,12928,14113,13632,197,-1111,574,17721,9597,-4060
613401,-183,-922,-106,12362,15889,13893,407,-1400,873,11974,25012,-715
613448,-288,-1000,-84,10304,16858,17533,104,-1262,37,17781,25012,3829
613487,-475,-875,-67,13383,12290,17938,-146,-724,86,18882,23842,2570
613526,-474,-614,-44,8036,9960,14890,-324,-868,309,8977,19443,4667
613562,-697,-666,-75,3654,4492,9781,-363,-464,147,8146,16725,3487
