timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
631780,-237,-806,-1194,24291,-1773,3590,-734,-994,-492,21943,-4758,-16506
631820,-245,-975,-1236,25012,-4806,7434,-785,-1383,-571,25012,-72,-14745
631861,-296,-1364,-1143,25012,-9419,15088,-551,-722,-510,25012,-8970,-22672
631900,5,-1496,-1193,25012,-9570,25012,-38,-538,66,25012,-4193,-25013
631941,53,-295,-872,25012,-12580,25012,-226,-484,361,25012,7052,-19016
631980,-7,333,-303,25012,-23208,25012,-129,1170,-1404,25012,-751,6835
632023,20,937,219,25012,-21857,19835,404,1705,841,25012,-18625,-32
632061,87,820,436,23185,-14910,12145,366,1124,721,24410,-5851,-854
632099,185,645,426,20138,-8194,9895,457,914,717,20216,3593,-3730
632141,240,802,259,14240,2434,11251,307,437,72,16966,18741,1264
632180,10,1222,-632,13525,-1555,14009,-305,-400,-2000,12464,25012,12935
632222,-202,1211,-1250,24202,-25013,7947,1999,1930,-2000,16423,-25013,25012
632263,311,1253,-1375,25012,-25013,-3275,1999,1999,-346,8522,-25013,16916
632302,1249,1638,309,7051,-25013,-3461,1999,1731,1999,1115,-25013,15692
632338,1099,1051,551,-6939,-14806,3574,1205,1168,959,-2282,25012,7842
632382,564,804,385,-5072,-749,3700,618,919,-837,-1040,-495,4364
632419,372,952,341,-3223,118,1512,643,739,389,-2476,1959,2435
632461,237,1090,266,-10321,4721,5095,606,1315,367,-6047,13208,8003
632502,300,1097,354,-12825,14325,3494,879,1073,401,-10545,17200,3622
632540,371,1040,326,-20812,21922,4547,922,1436,343,-14546,25012,6325
632580,418,835,383,-19922,25012,3290,985,1205,-226,-11148,25012,-1631
632620,269,1083,500,-21291,25012,4415,866,682,-152,-19360,25012,12790
632663,39,794,509,-25013,18828,2948,513,1191,-69,-25013,22258,14132
632701,-31,454,661,-25013,11899,2155,472,694,166,-23301,15908,14812
632737,-169,391,726,-25013,9131,2784,325,894,716,-22319,13446,15815
