timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2684681,492,-367,-803,56,289,296,-477,-534,-659,452,37,177
2684723,496,-364,-799,45,93,310,-469,-494,-622,425,113,64
2684763,490,-352,-786,129,245,109,-461,-512,-608,97,345,12
2684800,482,-361,-795,-44,348,34,-474,-510,-611,28,344,-3
2684846,457,-378,-789,-90,490,3,-412,-524,-424,23,1296,83
2684883,510,-429,-831,-360,2070,211,-411,-660,-604,306,6697,-264
2684920,529,-417,-962,-772,3911,2329,-553,-894,-725,772,9806,3063
2684962,690,-394,-1361,-4796,-2148,1637,-1189,-776,-1311,3558,10310,5329
2685002,467,-345,-1720,3224,-25013,-3431,-1803,168,-2000,10768,-25013,-8866
2685040,966,349,-1904,-2774,-25013,-24741,1933,-491,-2000,-1816,-25013,1819
2685084,104,-713,-953,841,-25013,-19276,1999,244,855,4282,-25013,-2120
2685121,122,-638,847,-677,-25013,-16195,1999,-767,1999,-6067,-25013,-8344
2685160,403,-484,812,8960,17916,1532,1320,-409,840,-590,16508,-3315
2685200,-12,-267,-403,1776,25012,4513,554,-664,611,-8283,25012,630
2685240,328,-143,-1174,-6214,25012,9112,752,-418,-84,-5359,25012,9244
2685280,695,-215,-1241,-8092,25012,14972,330,-280,-2000,-8001,25012,8771
2685320,203,-325,-1269,-9512,25012,14653,-1387,-595,-2000,-607,25012,5906
2685360,350,-173,-1269,-5183,11005,4155,-1639,-225,-1898,-944,-1625,4100
2685401,543,-201,-1100,-2676,-5540,-5947,-716,-281,-766,-5360,-12548,116
2685440,611,-448,-998,2115,-5695,-6339,-445,-731,-603,-2030,-6027,-3626
2685480,523,-490,-891,3383,-2723,-1052,-390,-783,-487,1531,-2506,-2403
2685520,459,-388,-842,1304,-170,1434,-510,-548,-531,1259,-14,-490
2685560,456,-336,-846,-374,-106,756,-581,-564,-658,790,-199,1225
2685600,481,-390,-838,-766,-1563,277,-550,-428,-641,835,-717,183
2685641,494,-355,-796,1044,-814,58,-470,-417,-512,562,-31,-1587
