timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
2091568,22,173,1020,-567,-400,-431,917,409,-133,-532,-155,1229
2091604,19,157,1015,-1133,-154,-687,893,379,-158,-346,-259,1551
2091647,14,247,1022,-3384,-484,-1601,974,224,-132,-516,78,6997
2091681,2,326,1009,-10985,-1063,-4271,1013,134,-151,-1078,95,15745
2091720,38,167,968,-21203,-1881,-7681,1019,294,-123,-1874,281,23543
2091765,85,8,951,-23988,-2114,-9253,1254,-215,0,-3877,3941,25012
2091804,158,-109,843,-25013,-3054,-11712,1372,-40,190,-9487,14591,25012
2091845,222,-380,589,-25013,-3272,-12800,1563,52,948,-18954,25012,25012
2091887,358,-626,317,-25013,-5593,-12359,1838,297,702,-25013,25012,25012
2091928,415,-833,-231,-25013,-6118,-7097,1498,872,-61,-25013,25012,25012
2091967,421,-1245,-634,-25013,-3549,4058,721,-19,-645,-25013,25012,3650
2092005,296,-806,-794,-25013,4484,7800,322,-11,-1611,-25013,24648,-3425
2092047,247,-725,-1016,-21719,6951,5383,608,-1385,-997,-17371,7021,-4643
2092087,358,-679,-940,-14262,16095,8349,533,-1712,-2000,-17352,-17434,11027
2092120,397,-606,-941,-4848,23027,7719,1999,-1846,-2000,-8211,-25013,22177
2092166,673,-345,-940,-5856,14368,2968,1999,1999,1999,-25013,-25013,-6231
2092205,475,-280,-1040,2961,-5307,-2690,-507,-146,865,-7271,3935,-3119
2092244,582,-539,-693,-3261,-3595,-103,-570,-618,-109,2686,-5347,5490
2092284,438,-341,-662,-2526,-132,1289,-692,-544,-129,-498,-1816,4945
2092324,440,-435,-750,-3193,-41,580,-746,-340,-140,-2077,-303,3386
2092365,509,-522,-927,702,-472,2159,-1462,51,-352,6120,1198,-11948
2092406,578,-1107,-1323,25012,-7584,13919,-1564,1177,-300,16299,952,-25013
2092444,836,-1308,-2000,25012,-14287,25012,988,1109,-50,25012,-13821,-25013
2092486,1275,-214,-2000,25012,-14953,25012,1999,214,306,25012,-16777,-25013
2092522,859,699,-718,25012,-18171,25012,1582,285,23,25012,-9319,-25013
