timestamp,Imu0_linear_accleration_x,Imu0_linear_accleration_y,Imu0_linear_accleration_z,Imu0_angular_velocity_x,Imu0_angular_velocity_y,Imu0_angular_velocity_z,Imu1_linear_accleration_x,Imu1_linear_accleration_y,Imu1_linear_accleration_z,Imu1_angular_velocity_x,Imu1_angular_velocity_y,Imu1_angular_velocity_z
825420,-500,59,815,-1419,1676,456,750,239,342,625,545,1490
825462,-480,-38,810,406,325,1694,812,268,375,1820,1341,-1077
825499,-520,63,890,204,-303,1219,944,337,448,1248,394,-245
825542,-524,94,970,-247,-80,143,1049,261,439,240,311,1775
825582,-516,-17,948,-955,935,500,955,256,390,990,1503,869
825621,-539,93,944,-1745,658,297,1013,241,409,343,-432,4416
825661,-552,379,1043,-8807,1333,-5283,1243,37,418,-5187,-6268,20577
825705,-439,291,1000,-25013,4647,-20344,1563,-39,498,-13732,-12192,25012
825740,-246,267,762,-25013,10764,-25013,1999,-228,575,-19608,-15253,25012
825779,309,109,391,-25013,23394,-25013,1999,824,781,-25013,-11131,25012
825819,710,-427,-721,-25013,25012,-25013,322,1353,302,-25013,1892,25012
825860,470,-929,-1132,-25013,25012,-25013,-1397,462,-507,-24381,6938,25012
825903,497,-904,-1076,-6385,13930,-4783,-1076,-343,-715,-2873,7993,2154
825941,612,-440,-805,3689,5364,854,-814,-583,-630,-4232,2174,-1816
825980,595,-784,-591,2864,1817,-1428,-262,-942,-584,-1250,3447,-1462
826018,507,-754,-691,2534,2632,2051,-572,-814,-606,851,3568,-1985
826064,578,-727,-710,2266,856,733,-440,-869,-664,487,2393,-2647
826100,564,-883,-674,3408,603,3173,-533,-846,-636,2973,3570,-5571
826142,513,-871,-741,8676,-3039,8438,-381,-912,-631,7116,3958,-10971
826179,460,-926,-637,8393,-3921,8617,-352,-959,-553,9580,4348,-12723
826220,394,-998,-651,12067,-6209,12327,-458,-1028,-583,15511,5343,-18029
826263,233,-1052,-522,15512,-12377,14606,-6,-840,-221,20958,4209,-21540
826302,320,-1324,-430,25012,-10077,24367,112,-776,605,25012,19073,-25013
826341,18,-1014,-363,25012,-14490,25012,688,-1123,1075,25012,25012,-25013
